,,Cycle 1,,,,,Cycle 2,
,MWD,EFPD,PPMB,,,MWD,EFPD,PPMB
,,,,,,,,
,170,4,599,,,544,13,918
,453,11,610,,,963,23,882
,659,16,614,,,1786,43,832
,921,22,621,,,2616,63,764
,1296,31,638,,,3489,84,687
,1499,36,610,,,4285,103,623
,2157,52,623,,,5399,129,538
,2898,69,598,,,6272,150,466
,3564,85,569,,,7348,176,376
,3999,96,559,,,8444,202,292
,4580,110,533,,,9766,234,184
,5159,124,506,,,10712,257,104
,5874,141,471,,EOC,,272.7,
,5998,144,461,,,,,
,6337,152,457,,,,,
,6862,164,415,,,,,
,7274,174,394,,,,,
,7390,177,384,,,,,
,7510,180,384,,,,,
,7930,190,367,,,,,
,8490,204,322,,,,,
,8941,214,296,,,,,
,9148,219,286,,,,,
,9370,225,270,,,,,
,9501,228,270,,,,,
,10338,248,207,,,,,
,11293,271,149,,,,,
,12305,295,72,,,,,
,13598,326,0,,,,,
EOC,,327.2,,,,,,
