Calendar days since BOC,169,,,,,,
Core Burnup [MWD/MT],1506.8,,,,,,
Inlet Coolant Temperature [F],561.29999999999995,,,,,,
,,,,,,,
Data Pass,Power [MWt],Boron [ppm],CRA [steps withdrawn],CRB [steps withdrawn],CRC [steps withdrawn],CRD [steps withdrawn],CRE [steps withdrawn]
0,3403.5,631.,228.,228.,228.,198.,230.
1,3409.7,630.,228.,228.,228.,198.,230.
2,3400.7,628.,228.,228.,228.,198.,230.
3,3403.1,633.,228.,228.,228.,198.,230.
4,3401.8,630.,228.,228.,228.,198.,230.
5,3392.0,627.,228.,228.,228.,198.,230.
6,3410.7,630.,228.,228.,228.,198.,230.
7,3396.9,630.,228.,228.,228.,198.,230.
8,3391.9,628.,228.,228.,228.,198.,230.
9,3403.1,628.,228.,228.,228.,198.,230.
10,3411.1,630.,228.,228.,228.,198.,230.
11,3410.2,633.,228.,228.,228.,198.,230.
12,3408.8,630.,228.,228.,228.,198.,230.
13,3405.9,630.,228.,228.,228.,198.,230.
,,,,,,,
Average Power [MWt],3403.5285714285715,,,,,,
Average Boron [ppm],629.8571428571429,,,,,,
